"04-01-2014 03h00";48;0;12;0;0;0;
"04-01-2014 03h15";36;0;16;0;0;0;
"04-01-2014 03h30";25;0;17;0;0;0;
"04-01-2014 03h45";15;0;8;0;0;0;
"04-01-2014 04h00";19;0;4;0;0;0;
"04-01-2014 04h15";19;0;4;0;0;0;
"04-01-2014 04h30";20;0;5;0;0;0;
"04-01-2014 04h45";19;0;6;0;0;0;
"04-01-2014 05h00";16;0;6;0;0;0;
"04-01-2014 05h15";14;0;2;0;0;0;
"04-01-2014 05h30";13;0;4;0;1;0;
"04-01-2014 05h45";10;0;3;0;0;0;
"04-01-2014 06h00";9;0;2;0;1;0;
"04-01-2014 06h15";12;0;3;0;1;0;
"04-01-2014 06h30";11;0;3;0;1;0;
"04-01-2014 06h45";12;0;3;0;1;0;
"04-01-2014 07h00";7;0;3;0;0;0;
"04-01-2014 07h15";9;0;2;0;0;0;
"04-01-2014 07h30";7;0;2;0;1;0;
"04-01-2014 07h45";8;0;3;0;1;0;
"04-01-2014 08h00";9;0;2;0;1;0;
"04-01-2014 08h15";10;0;3;0;0;0;
"04-01-2014 08h30";9;0;5;0;0;0;
"04-01-2014 08h45";8;0;5;0;0;0;
"04-01-2014 09h00";11;0;4;0;0;0;
"04-01-2014 09h15";11;0;4;0;0;0;
"04-01-2014 09h30";17;0;7;0;0;0;
"04-01-2014 09h45";15;0;7;0;0;0;
"04-01-2014 10h00";10;0;6;0;0;0;
"04-01-2014 10h15";21;0;9;0;0;0;
"04-01-2014 10h30";25;0;8;0;0;0;
"04-01-2014 10h45";41;0;7;0;0;0;
"04-01-2014 11h00";59;0;9;0;0;0;
"04-01-2014 11h15";73;0;8;0;0;0;
"04-01-2014 11h30";61;0;7;0;1;0;
"04-01-2014 11h45";66;0;7;0;0;0;
"04-01-2014 12h00";67;0;7;0;0;0;
"04-01-2014 12h15";63;0;8;0;0;0;
"04-01-2014 12h30";64;0;8;0;0;0;
"04-01-2014 12h45";65;0;8;0;0;0;
"04-01-2014 13h00";61;0;10;0;0;0;
"04-01-2014 13h15";65;0;9;0;0;0;
"04-01-2014 13h30";65;0;9;0;0;0;
"04-01-2014 13h45";61;0;7;0;1;0;
"04-01-2014 14h00";62;0;9;0;0;0;
"04-01-2014 14h15";66;0;9;0;0;0;
"04-01-2014 14h30";61;0;8;0;0;0;
"04-01-2014 14h45";59;0;7;0;0;0;
"04-01-2014 15h00";65;0;7;0;0;0;
"04-01-2014 15h15";51;0;7;0;0;0;
"04-01-2014 15h30";54;0;7;0;0;0;
"04-01-2014 15h45";64;0;11;0;0;0;
"04-01-2014 16h00";53;0;8;0;0;0;
"04-01-2014 16h15";51;0;6;0;0;0;
"04-01-2014 16h30";56;0;7;0;0;0;
"04-01-2014 16h45";55;0;8;0;0;0;
"04-01-2014 17h00";59;0;9;0;0;0;
"04-01-2014 17h15";59;0;8;0;0;0;
"04-01-2014 17h30";66;0;10;0;0;0;
"04-01-2014 17h45";56;0;9;0;0;0;
"04-01-2014 18h00";60;0;9;0;0;0;
"04-01-2014 18h15";62;0;11;0;0;0;
"04-01-2014 18h30";69;0;10;0;0;0;
"04-01-2014 18h45";70;0;10;0;0;0;
"04-01-2014 19h00";75;0;11;0;0;0;
"04-01-2014 19h15";86;0;13;0;1;0;
"04-01-2014 19h30";89;0;14;0;0;0;
"04-01-2014 19h45";81;0;11;0;0;0;
"04-01-2014 20h00";81;0;11;0;0;0;
"04-01-2014 20h15";91;0;13;0;0;0;
"04-01-2014 20h30";98;0;14;0;0;0;
"04-01-2014 20h45";90;0;13;0;0;0;
"04-01-2014 21h00";77;0;9;0;0;0;
"04-01-2014 21h15";72;0;9;0;0;0;
"04-01-2014 21h30";81;0;9;0;0;0;
"04-01-2014 21h45";76;0;10;0;0;0;
"04-01-2014 22h00";69;0;8;0;0;0;
"04-01-2014 22h15";66;0;8;0;1;0;
"04-01-2014 22h30";67;0;7;0;0;0;
"04-01-2014 22h45";64;0;8;0;0;0;
"04-01-2014 23h00";61;0;9;0;0;0;
"04-01-2014 23h15";69;0;8;0;0;0;
"04-01-2014 23h30";71;0;8;0;0;0;
"04-01-2014 23h45";74;0;9;0;0;0;
"04-01-2014 00h00";72;0;8;0;0;0;
"05-01-2014 00h15";68;0;8;0;0;0;
